epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,266.863,0.90523,0.80843,0.99808,0.63274,0.000330827,0.000330827,0.000330827
2,537.765,0.3066,0.85057,1,0.93094,0.000631284,0.000631284,0.000631284
3,804.17,0.24799,0.82759,0.99808,0.96892,0.000898742,0.000898742,0.000898742
4,1069.58,0.21864,0.79502,1,0.97737,0.0008515,0.0008515,0.0008515
5,1333.43,0.20089,0.82759,0.99234,0.85414,0.000802,0.000802,0.000802
6,1597.56,0.17736,0.81034,0.99808,0.95882,0.0007525,0.0007525,0.0007525
7,1860.3,0.14668,0.80843,0.99808,1.24493,0.000703,0.000703,0.000703
8,2123.55,0.15892,0.80077,1,1.37427,0.0006535,0.0006535,0.0006535
9,2385.84,0.15634,0.7931,1,1.04427,0.000604,0.000604,0.000604
10,2647.18,0.14091,0.80077,0.99808,1.21043,0.0005545,0.0005545,0.0005545
11,2911.55,0.13725,0.82184,1,1.32924,0.000505,0.000505,0.000505
12,3174.24,0.13287,0.80651,1,1.21928,0.0004555,0.0004555,0.0004555
13,3436.38,0.10748,0.8295,1,1.32174,0.000406,0.000406,0.000406
14,3697.79,0.11138,0.83333,1,1.53991,0.0003565,0.0003565,0.0003565
15,3959.97,0.11306,0.82759,1,1.16454,0.000307,0.000307,0.000307
16,4221.72,0.11445,0.79885,1,1.24146,0.0002575,0.0002575,0.0002575
17,4483.52,0.10708,0.82184,1,1.07943,0.000208,0.000208,0.000208
18,4744.55,0.09919,0.81226,1,1.29952,0.0001585,0.0001585,0.0001585
19,5006.77,0.09761,0.81801,1,1.28199,0.000109,0.000109,0.000109
20,5268.74,0.08499,0.81034,1,1.23195,5.95e-05,5.95e-05,5.95e-05
