epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,268.754,0.90523,0.80843,0.99808,0.63274,0.000330827,0.000330827,0.000330827
2,532.995,0.3064,0.85057,1,0.93642,0.00065101,0.00065101,0.00065101
3,793.745,0.25209,0.83525,0.99808,1.04143,0.000957993,0.000957993,0.000957993
4,1054.05,0.22274,0.80651,1,1.07886,0.0009406,0.0009406,0.0009406
5,1314.41,0.2048,0.85057,0.99808,1.0559,0.0009208,0.0009208,0.0009208
6,1574.93,0.19073,0.78544,0.99808,1.15375,0.000901,0.000901,0.000901
7,1835.16,0.15394,0.81226,0.99808,1.63889,0.0008812,0.0008812,0.0008812
8,2096.2,0.17631,0.81801,1,1.4517,0.0008614,0.0008614,0.0008614
9,2356.7,0.16977,0.80077,1,1.33722,0.0008416,0.0008416,0.0008416
10,2616.71,0.14423,0.82184,1,1.221,0.0008218,0.0008218,0.0008218
11,2877.42,0.1481,0.79693,1,1.53463,0.000802,0.000802,0.000802
12,3137.81,0.14741,0.83525,1,1.25416,0.0007822,0.0007822,0.0007822
13,3400.08,0.14204,0.79693,1,1.25087,0.0007624,0.0007624,0.0007624
14,3660.7,0.14375,0.82375,1,1.0219,0.0007426,0.0007426,0.0007426
15,3920.33,0.1173,0.8046,1,1.34421,0.0007228,0.0007228,0.0007228
16,4180.14,0.13244,0.80268,1,1.84364,0.000703,0.000703,0.000703
17,4440.65,0.11922,0.80651,1,1.00566,0.0006832,0.0006832,0.0006832
18,4701.04,0.12309,0.81992,1,1.58362,0.0006634,0.0006634,0.0006634
19,4961.05,0.12567,0.80651,0.99808,1.41836,0.0006436,0.0006436,0.0006436
20,5221.81,0.10533,0.82375,1,1.589,0.0006238,0.0006238,0.0006238
21,5482.07,0.10786,0.81801,1,1.48882,0.000604,0.000604,0.000604
22,5742.29,0.0954,0.81418,0.99234,1.86821,0.0005842,0.0005842,0.0005842
23,6003.08,0.10357,0.81418,1,1.91532,0.0005644,0.0005644,0.0005644
24,6264.39,0.11615,0.81801,0.99617,1.98885,0.0005446,0.0005446,0.0005446
25,6524.93,0.10757,0.80268,0.98276,1.44859,0.0005248,0.0005248,0.0005248
26,6784.44,0.10997,0.82567,0.98851,1.73166,0.000505,0.000505,0.000505
27,7043.21,0.09009,0.81609,0.9751,1.69424,0.0004852,0.0004852,0.0004852
28,7302.6,0.09425,0.81418,0.99617,1.55618,0.0004654,0.0004654,0.0004654
29,7561.86,0.08974,0.81801,1,1.23698,0.0004456,0.0004456,0.0004456
30,7821.33,0.07817,0.83142,1,1.59368,0.0004258,0.0004258,0.0004258
31,8081.62,0.09137,0.84674,1,1.44777,0.000406,0.000406,0.000406
32,8343.31,0.09282,0.82567,0.99808,1.82401,0.0003862,0.0003862,0.0003862
33,8603.72,0.09605,0.81418,0.98851,1.78484,0.0003664,0.0003664,0.0003664
34,8864.54,0.08428,0.82375,0.99234,1.53453,0.0003466,0.0003466,0.0003466
35,9125.67,0.09609,0.82759,0.99042,1.94232,0.0003268,0.0003268,0.0003268
36,9386.07,0.08981,0.84291,0.99617,1.82779,0.000307,0.000307,0.000307
37,9645.67,0.08059,0.83142,0.98659,1.92796,0.0002872,0.0002872,0.0002872
38,9906.56,0.06871,0.82375,0.98659,1.83284,0.0002674,0.0002674,0.0002674
39,10167.4,0.09007,0.82759,0.99234,1.58672,0.0002476,0.0002476,0.0002476
40,10427,0.07355,0.82567,0.99425,1.73353,0.0002278,0.0002278,0.0002278
41,10688.4,0.07027,0.8295,0.99234,1.60416,0.000208,0.000208,0.000208
42,10949.1,0.07596,0.83142,0.98851,1.85402,0.0001882,0.0001882,0.0001882
43,11209.4,0.08037,0.82759,0.98659,1.77184,0.0001684,0.0001684,0.0001684
44,11469.9,0.07774,0.81801,0.98851,1.71761,0.0001486,0.0001486,0.0001486
45,11729.4,0.07245,0.8295,0.98659,1.68859,0.0001288,0.0001288,0.0001288
46,11989.6,0.07269,0.82567,0.99042,1.84261,0.000109,0.000109,0.000109
47,12249.7,0.07005,0.82375,0.99234,1.84561,8.92e-05,8.92e-05,8.92e-05
48,12509.8,0.07122,0.82567,0.99234,1.6823,6.94e-05,6.94e-05,6.94e-05
49,12769.3,0.05944,0.82375,0.99234,1.63713,4.96e-05,4.96e-05,4.96e-05
50,13027.6,0.07367,0.82184,0.99234,1.81124,2.98e-05,2.98e-05,2.98e-05
